comment,positive/negative
දිනිති ගේ එකටකාරකමට මම හරි කැමකියි එයා ගොඩක් හිත හොද කෙනෙක් මම හරිම අාදරෙයි දිනිති ඔයාට බුදුසරණයි,POSITIVE
මොනා උනත් මම නම් හරි ආස නිලියක් මෙයා දැන් ස්වර්නවාහිනියෙ යන බයිස්කෝප් කතාවෙ රඟපාන චරිතෙ මෙයාට රඟපාන්න දෙයක් ඇත්තෙත් නැති තරම්,POSITIVE
මෙහෙමයි ලොකේ එක එක විදියේ මිනිස්සු ඉන්නවාඉතිම් මෙයා නරක උනට මෙයගේ හොද පැත්තකුත් ඇති එවත් හොයලා බලලා දාන්නකෝ,POSITIVE
මං ආදරේ කරන කෙල්ලෙක් ඒකි කියන්න ඕන දේ කෙලින් කියනවා,POSITIVE
හරිම දක්ෂ කාන්තාවක් ආඩම්බර වෙන්න බොහෝ තියෙනවා ගැන ලබා ගෙන දේවල් පිළිබඳව ආඩම්බර කතා කිරීම කයිවාරු ලෙස දැකීම පැහැදිලි ඊර්ෂ්‍යාව,POSITIVE
අර කොල්ල නම් අහින්සක එකෙක් වගෙ,POSITIVE
නිහතමානී,POSITIVE
නිවේදකයාට බොහොම ස්තූතී,POSITIVE
"දිනිති ,ලස්සනයි ,ඇක්ෂන් සමහරුන්ට දිරවන්නෙ නැහැ, ඒක ඉරිසියාව ,,එයා අනවශ්‍ය විදියට දඟලන කෙනෙක් නෙමෙයි දැඟලුවත් ඒ එයා ,කාටවත් අමාරු වෙනඑකට එයා පලි නැහැ,,,",POSITIVE
හැබැයි දැන් එයා ගොඩක් හොඳ කෙනෙක්,POSITIVE
දැන් නමි දිනි හොදයි,POSITIVE
මම නමි අාස නිලියක්,POSITIVE
නියමයි සහෝදරයා,POSITIVE
ලස්සනයි කේල්ලේක්නේ,POSITIVE
ඉස්සර ලස්සනයි,POSITIVE
අනෙ ටියා අක්කි ශෝයි,POSITIVE
ටියා ශෝක් අනේ,POSITIVE
ආත්මි අක්කියි චාරු අක්කිත් ලස්සනයි,POSITIVE
චාරු ලස්සනයි,POSITIVE
ටියා අක්කි මන් ආසයි ඔයාට,POSITIVE
අනෙ එක හරිම ලස්සනයි,POSITIVE
ආත්මි අක්කා තාමයි ලස්සනම,POSITIVE
ටියා තමා ලස්සන ම,POSITIVE
හරිම ලස්සනයි,POSITIVE
ලස්සනයි ඒත් අභියි පවියි නෑනේ,POSITIVE
ආත්මි අක්කගෙ ලස්සන,POSITIVE
මම නම් ඔය දෙන්නට හරි ආදරෙයි,POSITIVE
දිනිති ලස්සනයි,POSITIVE
දිනිති දැන් ලස්සනට කතා කරනවා තමන්ගෙ ගමන යනවා,POSITIVE
මාරම ලස්සනයි,POSITIVE
නංගිගේ වොයිස් එක ලස්සනයි එයාත් ලස්සනයි,POSITIVE
එයාගෙ වොයිස් එක ලස්සනයි ඊටත් වඩා ඒ නංගී ලස්සනයි,POSITIVE
ඒ වොයිස් එක මාරම ලස්සනයි නංගි,POSITIVE
හරිම ලස්සනයි,POSITIVE
ලස්සනයි සින්දුව,POSITIVE
ඒදෝනි නම් ලස්සනයි,POSITIVE
හරිම ලස්සනයි නංගි,POSITIVE
කටහඬ හරිම හුරුබුහුටියි ලස්සනයි,POSITIVE
ලස්සනයි අනේ ඔයා ත් ලස්සනයි සින්දුවත් ගොඩක් ලස්සනයි අනේ,POSITIVE
ඔයාගේ voice එකයි song එකයි දෙකම ලස්සනයි,POSITIVE
ඔය නංගියි සින්දුවයි දෙකම ලස්සනයි කියන කට්ටිය කෝ,POSITIVE
අඩෙහ් ඒ කටහඩ පට්ට,POSITIVE
හරිම ලස්සනයි නංගී,POSITIVE
මෙහෙම සුන්දර මනාලියක් දැකල නෑ,POSITIVE
හරිම ලස්සන මනමාලි ඇය හරිම සිරියාවන්තයි මනමාල හරිම නිහතමානි දරැවෙක්,POSITIVE
මරු ඇත්ත ලස්සනයි,POSITIVE
ලස්සනයි සුභ අනාගතයක්වේවා බුදුසරණයි,POSITIVE
ලස්සනයි හැමදාම සතුටින් ඉන්න,POSITIVE
හරිම ආදරණීයි හැමදාම සතුටින් ඉන්න,POSITIVE
ලස්සනයී ඒවගේම ඒයාගේ අයියත් ලස්සනට නටනවා,POSITIVE
මාරම ලස්සනයි,POSITIVE
ඇත්තටම එයාලව කවදාවත් අමතක වෙන්නෙ නෑ හරිම ලස්සනයි හරිම ආදරණීය යි හැමදාම සතුටින් ඉන්න බුදු සරණයි දෙව් පිහිටයි පුතේ ඔයාලට,POSITIVE
කොහේවත් නොදැකපු ලස්සන නැටුමක්ඒකනං කවදාවත් අමතක වෙන්නේ නෑලස්සන කපල් එකක්,POSITIVE
මේ කෙල්ලගේ සිරියාව,POSITIVE
මාරම ලස්සනයි,POSITIVE
අනේ ඇත්තටම හරීම ලස්සන යුවලක් දැක්කම ආසයී සදාකාලික සතුට සැනසීම ලැබේවා,POSITIVE
හිනාව මරැ බන්,POSITIVE
අයියො ආදරෙයි මගෙ එකා,POSITIVE
ඒ අක්කගෙ හින්නාව තමා ලස්සනම,POSITIVE
මෙවන් දරුවො ලද දෙමාපියන් ට ලොකු ආඩම්බරයක්,POSITIVE
දිනිති හොදයි,POSITIVE
අනේ ඔයා මරු අනේ,POSITIVE
හිනාවෙ ලස්සන කොල්ලගෙ හිත ලස්සන,POSITIVE
හිනාව තමයි ෂෝක්,POSITIVE
ඔයා ගොඩක් ලස්සනයි ගොඩක් හොඳයි ඔයාට ගොඩක් අය ආදරෙයි මාත් ඔයාට ගොඩක් ආදරෙයිඔයා හැමදාම සතුටින් ඉන්න,POSITIVE
කවුරු මොනවා කිව්වත් පට්ට ලස්සනට කරනවා අක්කේ ඔයාබුදුසරණයි ඔයාට,POSITIVE
අක්කේ සුපිරි ආ,POSITIVE
අක්කේ කමක් නැහැ ඔයාට ලස්සනයි බුදුසරණ,POSITIVE
ඒක ඔයාට හොඳයි ඉනෝකා,POSITIVE
ලස්සනයි අක්කේ,POSITIVE
ලස්සනයි වස්තු,POSITIVE
ලස්සනයි ඉනෝක අක්කා බුදු සරණයි පරිස්සමෙන්,POSITIVE
ආදරෙයි අක්කට,POSITIVE
ඉනෝකාක්කේ ඔයාගේ ඔක්කොම නැටුම් ලස්සනයි සතුටුයි,POSITIVE
ඉනෝකා අක්කට හරියන්න ඔනෙ උතුරන්න,POSITIVE
ඔයා හරිම අවන්කයි,POSITIVE
බුදු සරණයි ලස්සනයි දිගටම යන්න,POSITIVE
බුදුසරණයි අක්කේ,POSITIVE
ඔයා නිසා අපිත් සතුටින් අක්කා ඒකම පිනක් ඔයාට,POSITIVE
අපි ඔයාට ආදරෙයිනේ ඉනෝකා අක්කා,POSITIVE
සමිපුරන අැත්ත නංගි සියලු දෙවියෝ රැක දේවා ඔයාට දුක තාමනංගි,POSITIVE
තෙරුවන් සරණයිසතුටින් ඉන්න,POSITIVE
ඔයා හරිම අවන්කයි ඔයාට බුදු සරනයි,POSITIVE
මම නම් ඔයාට ආදරෙයි අක්ක,POSITIVE
ආදරෙයි නංගි,POSITIVE
ඔයා හොද කෙනෙක්,POSITIVE
ලස්සන යි අක්කේ,POSITIVE
අක්කා ඔය හොදින් බුදුසරණ ඔයාට,POSITIVE
මමනම් ආසම චරිතයක්,POSITIVE
ලස්සනයි කටහඩ,POSITIVE
⁣හොද ලස්සනට කියනවා,POSITIVE
ආතල් එකේ ඉන්න එකි,POSITIVE
ඔයා ලස්සනයි,POSITIVE
හඩ ලස්සනයි ඉනෝකා,POSITIVE
ලස්සනයි සුදු,POSITIVE
ඇත්තටම ලස්සනයි ඉනෝකා අක්කේ හිතට මාර සැහැල්ලුවක් දැනෙන්නේ,POSITIVE
හරි ම ලස්සනයි ඉනෝකා අක්කේ,POSITIVE
කුමාරි අක්කට වඩා නම් හොදයි,POSITIVE
ලස්සනයි ගොඩක් අක්කෙ,POSITIVE
තෙරුවන් සරණයි,POSITIVE
ලස්සන කට හඩක්ජීවිතේ නිදහසේ විදින කාටවත් කරදරයක් නැති මිනිස්සු,POSITIVE
හරිම ලස්සනයි,POSITIVE
ඇත්තටම ලස්සනයි ලස්සන හඬක් තියෙනවා,POSITIVE
මම ඔයාව ආදරයෙන් බලාගන්නවා ලැබුනොත්,POSITIVE
තෙරුවන් සරණින් ඉක්මන් සුවය ලැබේවා,POSITIVE
ඉක්මනට සනීප වේව,POSITIVE
ඉක්මනින් සනීප වෙන්න කියලා ප්‍රාර්ථනා,POSITIVE
ඉක්මනින් සුව වෙන්න කියලා ප්‍රාර්ථනා කරනවා අක්කෙ,POSITIVE
ඉක්මන් සුවය ප්‍රාර්ථනා කරනවා,POSITIVE
ඔයා ලස්සනයි හරි හුරතල්,POSITIVE
අම්මේ පඩ සෝ මේකිගේ මට‍ නම් පේන්න බැ ගොන් බඩුව,NEGATIVE
සුසන්තිකාට පුකෙන් හිනාවෙනවා ඇතීඅනේ මොන හුත්තක්ද ඔයසුසන්තිකා,NEGATIVE
"මේ වගේ දාර ගොන් බඩු ලෝකෙට පෙන්නගෙන ඉන්නෙ මුංට රෙවෙන්නෙත් නෑ,රෙන්න පුකකුත් නෑ කියලා",NEGATIVE
මේකී චොර නෙවෙයි චුත වෙලා යන්නේ නෑ නේ නොදකින්,NEGATIVE
මෙී වගේ ගොන් වෙීසියෝ ගෙන්නන් තොපිට පිස්සුද,NEGATIVE
පිස්සු හුක්,NEGATIVE
මේ වගේ ගොන් හුත්තියන්ට puke ඇරලා වේලෙන්න දාන්න ඕනේ ගිනි අව්වට එතකොට ඔය මවා ගත්තේ බොරු පොශ් එක puke හිලෙන් බේරෙනවාගොන් වේසාවියෝ රඟනවා මෙතනගමක ලස්සන කෙල්ලෙක් මල් ගවුමක් ඇඳගෙන රෙනකොටත් ඔයිට වැඩිය ලස්සනයි හුත්තියේ,NEGATIVE
අනේ මන්දා බන් ලංකාවේ නිලියන්ගෙන් දැක්ක පඩ ශෝ එක ඔලුවට උපරිමෙන්ම ගහලා ඉන්නනිලිය තමයිමේ අප්පිරියයිඅහසින් බැහැලා වගේනේ බන් බලහන්කෝරීයාපොඩි කාලේ ඉදන්මමෙහෙමද දන්නේනෑ උබට මදුරු කොයිල් පත්තු කරන්නබැරි උනාට දැනටත් මදුරු කොයිල් එකක් වටිනමිනිස්සු කොච්චර ඇතිද අපහස කරන්න එපා යකෝනිලියන්ගෙන් පේන්න බැරි එකම එකී දිනිති,NEGATIVE
පුදුම විදිහට හිතට අරන් ඉන්නේ නැති ෂෝස් එකක් පෙන්වන්න ගිහිල්ලා තියෙන තැනත් නැති කරගන්න වා කතා කරන විදිහට,NEGATIVE
මිනිස්සුන්ට අපහස කරනවට මන් ආස නැනමුත් ඇයි දන්නේ නැ මේ ගු පොශ් නිලි රැජිනට මෙහෙම වෙද්දි හොද වැඩේ කියලා හිතෙනවාහොද වෙලාවට ඉන්දියාවේ නිලියක් නොවුනේ,NEGATIVE
ගොං හාල්කෑල්ල,NEGATIVE
ගෑනිට හපන් ඒකිගෙ ගොන් මිනිහා,NEGATIVE
මේකිට මොන්ගල්ද අනේ,NEGATIVE
මටනම් පේන්න බෑ මූසල ගෑනි,NEGATIVE
Flight එකේ කොහොම වැඩකරාද දන්නේ නැ මේ ගොනා කලින්ම ෆැන්ශන් එක දිලා යවන්න ඇති,NEGATIVE
මොඩ මීහරකෙක් මේකි නම් කක්කා ගොඩ,NEGATIVE
පිස්සු ගොන්,NEGATIVE
ඉගෙන ගෙන නෑ,NEGATIVE
මේකිට මොකක් හරි ලෙඩක්ද කොහෙද,NEGATIVE
බූත හත්වලාමක්,NEGATIVE
ඔයා තරම් පන්ඩිතයෙක් නැහැ නිලියෝ කියලා බන් ඔයිට වාඩා ලස්සබ උන් ඉන්නවා එලියේ,NEGATIVE
මොඩ හරක් ගැනි යෙක්,NEGATIVE
අප්පෝ පෙන්නේ බැ අප්පා මේකිව නම් හිතන් ඉන්නේ එයා තරම් කෙනෙක් නෑ කියලා,NEGATIVE
"අනේ මේකිගේ බොරු හුරතලේ , ගොන් line තමයි තියෙන්නේ",NEGATIVE
ගාල්ලෙ කියන්න එපා දිනිති ගාල්ලෙ ඔයා ගොං උනාට ගාල්ලෙ මිනිස්සුන්ට මෝඩ නැහැ ලැජ්ජයි අපිට,NEGATIVE
හරි තමා යකෝතෝ පන්ඩිතයි තමා පන්තිතයි විතරක් කියපු එකට පින් දිපන්,NEGATIVE
බොරු පොෂ් බැඩක් නැහැ බං පොලවේ පයගහන්න පුරුදු වුනානම් ඔය නුගත් කම් වෙන්නේ නැහැ,NEGATIVE
මල කෝලං මේවා මේරටේ ගෑනුද මේ,NEGATIVE
දිනිති මේ උබ ඉතින් ඔහොම කරා කියල චරිතයක් නම් නෙවෙයි උබට බන් අං දෙකක් විතරයි නැත්තෙ,NEGATIVE
මහ මූසලියෙක් පුදුම ලොකුකමක් තියෙන්නේ,NEGATIVE
ගිය තැන නානව ඉතින්,NEGATIVE
පිස්සු hittak,NEGATIVE
සෝබන අංක 01,NEGATIVE
ඊයා මේ ගෑනී නම් අප්පිරියයි ජරාව,NEGATIVE
මුන් අමුතු සක්වලකින් ආව වගෙ,NEGATIVE
Kohomath muta therenne nawadasatahanak mehewannadinithi hodai dinitige hatie,NEGATIVE
මේවගේ මෝඩ බඩු පවු බං,NEGATIVE
"මේ ගෑණි දැන් සුදු උනේ බෙහෙත් විදලම නේද සුසන්තිකා, මාධවි මේකිට පස්චාත් භාගයෙන් හිනාවෙනවා දැක්කෙ මං විතරක් නෙවෙයි නේද",NEGATIVE
මේ ගෑනි හිතන් ඉන්නෙ හෙන ලොකු නිලියක් කියල බොලිවුඩ් ගියා වගේ ඉන්නෙ,NEGATIVE
මුන් රඟපාන්න ගන්න අයට ගහන්න ඕනමහන්තන්තකම,NEGATIVE
අනෙ බබා පව් මට ඇඩෙනවා,NEGATIVE
නොදකින් පිස්සු ගෑනි,NEGATIVE
ප්‍රෝගෑම් එකේ දිග පඩයක් ගිහින් හතර විලිලැජ්ජා උන බඩ්ඩ නේද මේ,NEGATIVE
චොර වෙනවා ආයේ,NEGATIVE
තු නොදොකින් මොකුන්ද මේ ගොබ්බයො ටික,NEGATIVE
"මම පොඩ්ඩක් වත් කැමති 
 නෑ",NEGATIVE
"ඔය වගේ පිස්සො වැදගත් වැඩසටහන් වලට ගෙන්නන්න එපාමාද්‍ය ආයතන වලටත්,නලු නිළියනටත් ලැජ්ජාවක්",NEGATIVE
ගොනක් මෙකීනම්,NEGATIVE
පඩ ෂෝ උපරිම,NEGATIVE
පන්ඩිත කමක්නම් පෙනෙන්නැ මොඩකමක්නම් පෙනෙනවා,NEGATIVE
ලංකාවේ මීහරක් හැමදාම කරන්නේ අනුන්ට හිනාවෙන එක කරන්න පුළුවන් තැරියකුත් නෑ අනුන්ට හිනාවෙනවා විතරයි බූරු හැත්ත,NEGATIVE
පිස්සියක්,NEGATIVE
චීත්ත පිරිමි,NEGATIVE
මහ පිස්සු බඩුවක්,NEGATIVE
මෙකිගේ නම් මොලේ අවුල්,NEGATIVE
ඊයා ගොන් බඩු චුන් කරනවා මෙයාට වැඩ් ය වැදගත් සෙනග ඉන්නවා,NEGATIVE
ගොන්ගොන්නු ගොන් පුතාගෙ ගු හැලිය,NEGATIVE
හොඳ වැඩෙ එකිට පෙන්නන්නම් බැරි එකියක් තම,NEGATIVE
මෝඩ මගුල් නේ මෙයාගෙ රිදිලම නෑනේ බබා,NEGATIVE
පව් කියලත් හිතුන,NEGATIVE
මේ ගෑනිට හොදටම පිස්සු,NEGATIVE
මේකිට අසහනෙන් කතා කරනවා වගේ,NEGATIVE
දකිද්දිත් අප්පිරියයි,NEGATIVE
පණ්ඩිත බව දන්නවා නම් බොහොම හොඳයි පොළොවෙ පය ගහලා ජීවත් වුණා නම් හොඳයි නේද,NEGATIVE
ගොන් මේවට ගේන අයටත් පිස්සු,NEGATIVE
මෙිකී නම් පිස්සූ හුත්ති ෙයක්මයී,NEGATIVE
නොදකිං එළදෙන,NEGATIVE
මුන් වගේ ගොන් ගානු බදින්නෙ හරකට,NEGATIVE
මහ සමයන් ගැනියක්,NEGATIVE
සුසන්තිකාට පුකෙනුත් හිනා ඇති මෙ වගෙ ගොන් httiyek දැකල,NEGATIVE
මදුරුවෙක් පුකේ වැහැව්වා නම් කොන්ට්‍රැක් දෙනවද මේකි මහ පඩ හුත්ත්ක් පුකට පයින් ගහල එලවල දාන්න ඕනේ,NEGATIVE
හෙන ලොකු කම හිතට අරන් වැඩ් යි,NEGATIVE
පිස්සු හුත්තක්,NEGATIVE
මෙයා කැපිලා පේන්න දගලනවාහොදවැඩේ උන සවුත්තුවට,NEGATIVE
අනේ මෙහෙමත් මත් කෝ ලන් බෙබි,NEGATIVE
අපොයි මොන බොරු කතා ද මේ මෝඩකම,NEGATIVE
ලොකු කම නොදකින් හැටි,NEGATIVE
මල කෝලම් බබෙක්,NEGATIVE
මෙකි මහා විකාරයක්,NEGATIVE
නොදකින් මල හුත්ත,NEGATIVE
මානසික ලෙඩ්ඩු,NEGATIVE
මෙලෝ රහක් නැති මෝඩ ගොන් ගහක්ඉදකින්,NEGATIVE
"මාර ගොම්මගුලක් 
 පට්ට සෝබන මඟුල් ගෑනියෙක්",NEGATIVE
පිස්සු මගුලක්,NEGATIVE
මෙවට කොහෙන් හිනා වෙන්නද,NEGATIVE
එදා ඉදන් අදටත් පෙන්නන්න බෑ ගු ගොඩ දැන් මින්ස්සු හොද කීවට,NEGATIVE
යස වැඩේ බක පඩත්තල ගෑනිට ඒකි හිතන් ඉන්නේ ඒකි තරම් එකියක් නැ කියලා පව් ඉතිං අසරන ජීවිත,NEGATIVE
පට්ටි ගොනෙක්,NEGATIVE
මේවට කියන්නෙ මලවිකාර කියලා,NEGATIVE
මේ හුත්ති ගේ කොහොමත් ලොකු සීන්,NEGATIVE
හරි ලොකු කමින් ඉන්න ගෑනියෙක්,NEGATIVE
අප්පිරියයි කසාද කැඩුනු ගැනු මිනිස්සු,NEGATIVE
මොලේ අමාරුවද,NEGATIVE
මටනන් මේකී පේන්න බෑ,NEGATIVE
පුකේ අරිද්දී රිදෙන්නේ නැද්ද මේකිට,NEGATIVE
පිස්සු හුත්තවල්,NEGATIVE
මානසික ලෙඩක් ඕකිට,NEGATIVE
දිනිති උඹ හැමදාම පිං දීපන් සියතෙ මේ නිවේදකයාට උඹව ටිකක් හරි අහසින් පොළොවට ගෙනාවෙ මේ නිවේදකයයි නැත්නම් තාමත් නිළි රැජින කියලා හිතාගෙන යන යන තැන රෙනවා,NEGATIVE
මම දැක්ක සෝශල් මීඩීයා වල කක්කා චරිතයක් මේයා මලෙන් උපන් කුමාරිහාමි වගේ,NEGATIVE
ඔයවගේ උන් වැඩසටහන් වලට ගෙන්නන උන් ඊට වටා ගොන්නිවේදක නියමෙටම කිඋව්වාඑල,NEGATIVE
මේ වගේ උන්නම් නෙදකින් මෝඩකම ප්‍රදර්ශනය කරනවා,NEGATIVE
උද්දච්චකම ඉහල ගියමෝඩකම ප්‍රදර්ශනය කරනමොන්ගල් මගුලක්,NEGATIVE
තොත්ත බබෙක් කියලා පෙන්නන්න හදනවා මදුරුවෝ පව් මුන් වගේ හරක් ගෙන් ලේ බොන්න ගිහින් නැති ලෙඩ දාගන්නවා,NEGATIVE
මම නම් මුල ඉදලම දැක්කේ ජෝඩුවගේ සෝබන ඇක්ටින් තමයි,NEGATIVE
ඕක ඇවිල්ලා ලොකුකම,NEGATIVE
පොලොවට අඩි ගානක් උඩින් ජීවත් වෙන මිනිස්සු මුන් කවදාවත් හැදෙන්නේ නෑ,NEGATIVE
පන්ඩිත වාහෙ කෙනෙක් මේ හුත්තිව මොකටද ගන්නෙ මී හරක්ද මේකිට වැඩ දෙන්නෙ අරු නම් පොන්නයෙක් වගේ තමයි ඕකිගෙ මිනිහ,NEGATIVE
අනේ මෙහෙම ගොං මජර කතා කියන ගොං එලදෙනවල්නුත් ඉන්නවනේ අපේ රටේ අම්මප මේ වගෙ ඒවා දාල ට්ව් එකටත් වෙලා තියෙන එක හරි පුවුමයි නේද?,NEGATIVE
මාධවී එක්ක මේකි මොකියක්දපට්ට බැක් මේකිගෙ ලොකුම මොනවටද මාධවී නිරහංකාරව ඉන්න හොද කෙනෙක්,NEGATIVE
මේකි බීලද ඉදලා තියෙන්නෙ,NEGATIVE
මේකෙනං දිනිති හරි අප්පිරියයි,NEGATIVE
බොරු පොශ් ගතිය,NEGATIVE
දිනිතිගෙ කොහොමත් ලොකුකම,NEGATIVE
නියම පඩ ශෝ එක,NEGATIVE
බබෙක් වෙන්න හදනවා,NEGATIVE
Me ganita mongal,NEGATIVE
මේකිට අහවල් වැඩේ කරනකොට රිදෙන්නේ නැද්ද,NEGATIVE
මමනමි එදත් අකමැති අදත් අකමැති මට පේන්න බැරි පන්ඩිත ගෑනියෙක්මෙලෝ රහක් නෑ ලොකුකමි,NEGATIVE
ලෙකුකම වැඩ් දේන්නගේම,NEGATIVE
මහා සොබන ගැහැනියක් හරිම පන්ඩිතයා,NEGATIVE
පිස්සු වසංගතයක්,NEGATIVE
ශික් ගොන් කම ළග ප්‍රදර්ශනය කරන්නෙපා ප්‍රසිද්ද මාද්දියේ අප්පිරියයි සංගීත්ගේ කනවා,NEGATIVE
ඇයි මේ ගොන්නු ගෙන්නන්නෙ,NEGATIVE
මෝඩ පන්ඩිත ගොන් ගහක්,NEGATIVE
මල සමයන් මේවා,NEGATIVE
කාඩ් කුඩු පිස්සු ඇන්ටගෙ,NEGATIVE
ගොන් බඩුව දිනිති,NEGATIVE
කො⁣හෙ ඉන්න එවුන්ද යකෝ මේ,NEGATIVE
අමිමො පඩ ෝණියක්,NEGATIVE
හැබැයි ඉතින් ගොන් උත්ත චාටර් උනාහොද වැඩේ,NEGATIVE
ගොන් හරකි පෙන්න baha,NEGATIVE
සොබන ගොඩාක් කොලන්,NEGATIVE
නොදකින පිස්සු මෙකිට,NEGATIVE
පඩ උත්තක්කෙහෙල් මුවක් වගේ මූන මුන් උඩ තියන උන්ට ගහන්න ඕන,NEGATIVE
මෙලොවෙ රහක් නති ගොන් බඩුවක් අප්පිරියයි,NEGATIVE
මහා ගොන් ගෑනියෙක්,NEGATIVE
මල හොල්මනක් මේකි නම්,NEGATIVE
සංගීත් හෙන ගොං,NEGATIVE
සංගීත්ගේ ගොං ගහ,NEGATIVE
ගොන් බඩුවක්,NEGATIVE
මල හොල්මනක්,NEGATIVE
බොරු ලොකු කමක්,NEGATIVE
සක්කිලි මී හරකාටත් මොළයක් තියෙනවා,NEGATIVE
පාහර බල්ලා,NEGATIVE
ලැට් එකක ජීවත් වෙන්න ඕනී එකෙක් පකයා,NEGATIVE
මු දකිනව්ට වමනේ යනවා,NEGATIVE
කටු කන බල්ලා මුන්ගෙ පුකට වෙඩි තියන්න ඕනි,NEGATIVE
කව්ද අර පුක දෙන බල්ලා,NEGATIVE
ඔය හොරාට පුක දීගෙන කයිවාරු ගහපු නාකි තට්ටය,NEGATIVE
කලිසමේ කක්ක ගිය ජංගිය,NEGATIVE
ගූ කන එකෙක් නාකි උලමා,NEGATIVE
බත් බැලයා කාලකන්නි තොපිට හෙන ගහන්න ඕනා සවලෙන් වත් කෑලි එකතුකරන්න බැරිවෙන්න,NEGATIVE
අනේ බොල බල්ලෝ තොපි තිරිසනුන්ට අපහස කරන ජාතියක්,NEGATIVE
මුව හම ගහන්න එපැයි,NEGATIVE
පුක ලොකුද,NEGATIVE
හෙනගහන්න ඕන ඌට කඩේයන උඹටයි උගේ ගූ කන උඹේ පවුලෙ උන්ටයි,NEGATIVE
තාත්තට මැරිලත් වලට හෙණගහන්න ඕනෙ,NEGATIVE
මේ එළදෙනට පිස්සු වැඩි වෙලා,NEGATIVE
යකො මෙකිගෙ හැටි තුක් නොදකිින්,NEGATIVE
කට පුක වගේ,NEGATIVE
උබ සාපයක් බං,NEGATIVE
දෙන්න හිතෙනවා මුන දෙක වෙන්න,NEGATIVE
ඔයාට කක්කි බරක් ආවද,NEGATIVE
තු නොදකින් හැටි විතරක්,NEGATIVE
තොට පිස්සු වගෙ,NEGATIVE
ඔබ බැල්ලී හැදෙන එකියක් නොවේ බැනුම් අහන්න එපා ලෑජාවාක් නැහැ,NEGATIVE
මේකිට පිස්සුද මන්ද,NEGATIVE
නූගත්කම මෝඩකම හොදට මූනෙන් පේනවා,NEGATIVE
මේ ගෑනි තවම අන්ගොඩට දාලා නැද්ද අය්යෝ පුදුම කරුමයක්නේ මේක,NEGATIVE
ඉදකින් ගොන් මගුල,NEGATIVE
පිස්සු වේසි,NEGATIVE
පතෝල බැල්ලි එක සින්දුවක් කාලා තව එකක් කන්න එනවා,NEGATIVE
ශික් විතරක්,NEGATIVE
රිලවියක් වගේ,NEGATIVE
ගොන් පොන්න වේසියෙක් තෝ හිරිකිතයි යකෝ,NEGATIVE
ආත්මිගෙ කැත,NEGATIVE
මේ වගේ දාර ගොන් බඩු ලෝකෙට පෙන්නගෙන ඉන්නෙ මුංට රෙවෙන්නෙත් නෑ රෙන්න පුකකුත් නෑ කියලා,NEGATIVE
අනේ මේකිගේ බොරු හුරතලේ ගොන් line තමයි තියෙන්නේ,NEGATIVE
අපෝ මටත් පේන්න බැ බබාමල විකාරයක් නාඩගමක් දිනිති,NEGATIVE
ටිකක් ඔළුව ඉදිමිච්ච එකෙක්මූ,NEGATIVE
මහා සොබන ගැහැනියක්හරිම පන්ඩිතයා,NEGATIVE
පිස්සු මගුලක් මේක,NEGATIVE
එයාගේ ඩාස් එක සුපිරි,POSITIVE
ඇත්තටම පුදුම පණ්ඩිත බන්,NEGATIVE
මුටපිස්සු අංගොඩයවන්නඕන,NEGATIVE
Your kut boy,NEGATIVE
දිනිතිගේ අලි ඔලුව පේන්නම බෑ මට නම් ඕකි,NEGATIVE
උබට් පිස්සු උනාට අපිට් පිස්සු නැ,NEGATIVE
උබට පිස්සුද ලජ්ජාවටක් කියනදේයක් ගෑවීලාවත් නැහැ,NEGATIVE
මේකිට මෝල් අමාරුව වැඩි වෙලා ගහගනින් ගිහින් වම්බටු ගෙඩියක් වත්,NEGATIVE
මේ වේසිට පුදුම පුකේ අමාරුවක් වගේ තියෙන්නේ,NEGATIVE
අනේ පලයන් ගැනියෙ යන්න,NEGATIVE
අනෙබං උබ බඩුවක්නෙ අක්කෙ,NEGATIVE
පිස්සු ගෑණියෙක් මහා,NEGATIVE
ඉනෝකා අක්කට කක්කා බරයි ලූඋ,NEGATIVE
අම්මොහ් නැගී එන ගායිකාවඑලහ් ඉනෝකා අක්කා,NEGATIVE
පිස්සුද මේ හුත්ති ට,NEGATIVE